text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @newschambers: IFA blockading the Department of Agriculture with bales of hay. Protesting against falling beef prices #ntfm http://t.co/…,FALSE,0,NA,17/06/2014 11:14,FALSE,NA,4.78858E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",clairenoble_,17,TRUE,FALSE,NA,NA
RT @newschambers: Hay everywhere on Kildare Street. Gardaí have stopped the farmers' jeep #ntfm https://t.co/zuchF6XNCP,FALSE,0,NA,17/06/2014 11:13,FALSE,NA,4.78858E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RoryLeadbetter1,15,TRUE,FALSE,NA,NA
RT @newschambers: IFA blockading the Department of Agriculture with bales of hay. Protesting against falling beef prices #ntfm http://t.co/…,FALSE,0,NA,17/06/2014 11:13,FALSE,NA,4.78858E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DeirdreConroyIE,17,TRUE,FALSE,NA,NA
RT @newschambers: Hay everywhere on Kildare Street. Gardaí have stopped the farmers' jeep #ntfm https://t.co/zuchF6XNCP,FALSE,0,NA,17/06/2014 11:12,FALSE,NA,4.78858E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DGSSG1,15,TRUE,FALSE,NA,NA
Livestock farmers man the hay barricade. #ntfm http://t.co/l4RCEXysMs,FALSE,1,NA,17/06/2014 11:11,FALSE,NA,4.78857E+17,NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>",newschambers,1,FALSE,FALSE,NA,NA
RT @newschambers: IFA blockading the Department of Agriculture with bales of hay. Protesting against falling beef prices #ntfm http://t.co/…,FALSE,0,NA,17/06/2014 11:11,FALSE,NA,4.78857E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",trfc_ryan,17,TRUE,FALSE,NA,NA
RT @paraicgallagher: RT @newschambers: Hay everywhere on Kildare Street. Gardaí have stopped the farmers' jeep #ntfm https://t.co/gqVj7VyMUJ,FALSE,0,NA,17/06/2014 11:10,FALSE,NA,4.78857E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",_Aella,1,TRUE,FALSE,NA,NA
RT @newschambers: IFA blockading the Department of Agriculture with bales of hay. Protesting against falling beef prices #ntfm http://t.co/…,FALSE,0,NA,17/06/2014 11:09,FALSE,NA,4.78857E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",joeohanlon_12,17,TRUE,FALSE,NA,NA
RT @newschambers: Hay everywhere on Kildare Street. Gardaí have stopped the farmers' jeep #ntfm https://t.co/zuchF6XNCP,FALSE,0,NA,17/06/2014 11:08,FALSE,NA,4.78857E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",armonline,15,TRUE,FALSE,NA,NA
RT @newschambers: IFA Eddie Downey says Minister Simon Coveney has sided with factories instead of farmers. #ntfm http://t.co/0tAILbSCQZ,FALSE,0,NA,17/06/2014 11:07,FALSE,NA,4.78856E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DGSSG1,3,TRUE,FALSE,NA,NA
RT @newschambers: Hay everywhere on Kildare Street. Gardaí have stopped the farmers' jeep #ntfm https://t.co/zuchF6XNCP,FALSE,0,NA,17/06/2014 11:07,FALSE,NA,4.78856E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jesskellynt,15,TRUE,FALSE,NA,NA
RT @newschambers: IFA blockading the Department of Agriculture with bales of hay. Protesting against falling beef prices #ntfm http://t.co/…,FALSE,0,NA,17/06/2014 11:06,FALSE,NA,4.78856E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LiamCahill2013,17,TRUE,FALSE,NA,NA
RT @newschambers: IFA Eddie Downey says Minister Simon Coveney has sided with factories instead of farmers. #ntfm http://t.co/0tAILbSCQZ,FALSE,0,NA,17/06/2014 11:02,FALSE,NA,4.78855E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NewstalkFM,3,TRUE,FALSE,NA,NA
RT @newschambers: Hay everywhere on Kildare Street. Gardaí have stopped the farmers' jeep #ntfm https://t.co/zuchF6XNCP,FALSE,0,NA,17/06/2014 11:02,FALSE,NA,4.78855E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",macbubbins,15,TRUE,FALSE,NA,NA
IFA Eddie Downey says Minister Simon Coveney has sided with factories instead of farmers. #ntfm http://t.co/0tAILbSCQZ,FALSE,0,NA,17/06/2014 11:01,FALSE,NA,4.78855E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",newschambers,3,FALSE,FALSE,NA,NA
RT @newschambers: IFA blockading the Department of Agriculture with bales of hay. Protesting against falling beef prices #ntfm http://t.co/…,FALSE,0,NA,17/06/2014 11:00,FALSE,NA,4.78855E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",tommybradley1,17,TRUE,FALSE,NA,NA
